Short Name,Long Name,Vendor,WOSO URL,MOSO URL
Plymouth St.,Plymouth State University,Sidearm,https://athletics.plymouth.edu/sports/womens-soccer,https://athletics.plymouth.edu/sports/mens-soccer
Rhode Island Col.,Rhode Island College,Sidearm,https://friars.com/sports/womens-soccer,https://friars.com/sports/mens-soccer/archives
Castleton,Castleton University,Sidearm,https://castletonsports.com/sports/womens-soccer,https://www.castleton.edu/calendars/category/mens-soccer/2019-09/
Bridgewater St.,Bridgewater State University,PrestoSports,https://bridgewatereagles.com/sports/womens-soccer,https://bridgewatereagles.com/sports/mens-soccer/archives
Fitchburg St.,Fitchburg State University,PrestoSports,None,https://www.fitchburgstate.edu/campus-life/events/2024-10/mens-soccer-falcons-vs-mcla
Framingham St.,Framingham State University,PrestoSports,None,None
Mass-Liberal-Arts,Massachusetts College of Liberal Arts,PrestoSports,None,https://gocardinalsports.com/sports/mens-soccer/opponent-history/massachusetts-college-of-liberal-arts/98
Mass. Maritime,Massachusetts Maritime Academy,PrestoSports,None,https://maritimeathletics.com/sports/mens-soccer/opponent-history/massachusetts-maritime-academy/74
Salem St.,Salem State University,PrestoSports,https://salemtigers.com/sports/womens-soccer,https://salemtigers.com/sports/mens-soccer
Westfield St.,Westfield State University,PrestoSports,None,None
Worcester St.,Worcester State University,PrestoSports,None,None
Trine,Trine University,Sidearm,https://trinethunder.com/sports/womens-soccer,https://athletics.hope.edu/sports/mens-soccer/opponent-history/trine-university/266
Calvin,Calvin College,Sidearm,https://calvinknights.com/sports/womens-soccer,https://calvinknights.com/sports/mens-soccer
Hope,Hope College,Sidearm,https://hiuroyals.com/sports/womens-soccer,https://hopemenssoccer.ryzerevents.com/
Kalamazoo,Kalamazoo College,Sidearm,https://hornets.kzoo.edu/sports/womens-soccer/stats,https://hornets.kzoo.edu/sports/mens-soccer/archives
Olivet,Olivet College,PrestoSports,None,None
Stevens,Stevens Institute of Technology,Sidearm,https://stevensrec.com/sports/womens-soccer,https://stevensducks.com/sports/club-mens-soccer
Hood,Hood College,Sidearm,https://hoodathletics.com/sports/womens-soccer,https://www.hood.edu/hood-college-mens-soccer-program-campus-id-camp
Stevenson,Stevenson University,Sidearm,https://gomustangsports.com/sports/womens-soccer,https://gomustangsports.com/sports/mens-soccer
Eastern,Eastern University,Sidearm,https://goeasterneagles.com/sports/womens-soccer,https://gowarriorathletics.com/sports/mens-soccer
Messiah,Messiah College,Sidearm,https://gomessiah.com/sports/womens-soccer,https://www.messiah.edu/info/20477/mens_club_soccer
Widener,Widener University,Sidearm,https://www.widener.edu/profile/womens-soccer-club,https://www.widener.edu/profile/mens-soccer-club
York (PA),York College (Pa.),Sidearm,https://ycpspartans.com/sports/womens-soccer,https://yorkpanthers.com/sports/mens-soccer
FDU-Florham,"Fairleigh Dickinson Univ., Florham",Sidearm,https://fduknights.com/sports/womens-soccer,https://fduknights.com/sports/mens-soccer
DeSales,DeSales University,Sidearm,https://athletics.desales.edu/news/2024/9/1/womens-soccer-falls-to-swarthmore-5-0.aspx,https://athletics.desales.edu/sports/mens-soccer
Delaware Valley,Delaware Valley College,Sidearm,https://athletics.delval.edu/sports/womens-soccer,https://athletics.delval.edu/sports/mens-soccer
King's (PA),King's College,Sidearm,https://kingscollegeathletics.com/sports/womens-soccer,https://ukings.ca/campus-community/athletics/mens-soccer/
Lebanon Valley,Lebanon Valley College,Sidearm,https://godutchmen.com/sports/womens-soccer,https://godutchmen.com/sports/mens-soccer
Misericordia,Misericordia University,Sidearm,https://athletics.misericordia.edu/sports/womens-soccer,https://athletics.misericordia.edu/news/2024/8/30/susquehanna-mens-soccer-edges-mu-in-opener.aspx
Chicago,University of Chicago,Sidearm,https://athletics.uchicago.edu/news/2024/9/1/womens-soccer-dominates-at-alma.aspx,https://www.uchicagomenssoccercamps.com/
Illinois Col.,Illinois College,Sidearm,https://fightingillini.com/sports/womens-soccer/archives,https://www.swic.edu/students/services/student-life/athletics/mens-soccer/recruitment/
Knox,Knox College,Sidearm,https://prairiefire.knox.edu/sports/womens-soccer,https://prairiefire.knox.edu/sports/mens-soccer
Lake Forest,Lake Forest College,Sidearm,https://goforesters.com/sports/womens-soccer,https://www.lakeforest.edu/news-and-events/mens-soccer-vs-beloit-10621
Monmouth (IL),Monmouth College,Sidearm,https://monmouthhawks.com/sports/womens-soccer,https://monmouthhawks.com/sports/mens-soccer
Cornell College,Cornell College,Sidearm,https://cornellbigred.com/sports/womens-soccer/stats,https://cornellbigred.com/sports/mens-soccer
Grinnell,Grinnell College,Sidearm,https://kohawkathletics.com/sports/womens-soccer/stats/2024/grinnell-college/boxscore/9918,https://pioneers.grinnell.edu/news/2024/8/30/mens-soccer-gc-mens-soccer-team-appears-poised-for-another-thrilling-season.aspx
Beloit,Beloit College,Sidearm,https://beloitcollegeathletics.com/sports/womens-soccer,https://beloitcollegeathletics.com/sports/mens-soccer
Lawrence,Lawrence University,Sidearm,https://vikings.lawrence.edu/sports/womens-soccer,https://saintsathletics.com/sports/mens-soccer
Ripon,Ripon College,Sidearm,https://riponredhawks.com/sports/womens-soccer,https://riponredhawks.com/sports/mens-soccer
Augsburg,Augsburg University,Sidearm,https://athletics.augsburg.edu/sports/womens-soccer,https://augsburg.spirit.bncollege.com/augsburg-auggies-mens-gray-augsburg-university-soccer-name-drop-t-shirt/t-3499996113+p-604920987161+z-9-2116030259
